id,slug,name,description,image,category,order,categoryOrder,isActive,configuratorEnabled,calculatorAvailable,clickCount,createdAt,updatedAt
180,certificates,"Certificates","Professional certificates in A4 and A5 sizes on 250gsm card",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:20:52.176Z","2025-09-22T23:20:52.176Z"
181,digital-business-cards,"Digital Business Cards","Professional digital business cards in single sided and double sided options",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:37:32.290Z","2025-09-22T23:37:32.290Z"
182,appointment-cards,"Appointment Cards","Professional appointment cards in black & white, color, and mixed options",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:37:51.470Z","2025-09-22T23:37:51.470Z"
183,letterheads,"Letterheads","Professional letterheads in A4 and A5 sizes, black & white and color options",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:39:35.284Z","2025-09-22T23:39:35.284Z"
184,compliment-slips,"Compliment Slips","Professional compliment slips in black & white and color options, single and double sided",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:39:59.256Z","2025-09-22T23:39:59.256Z"
185,loyalty-cards,"Loyalty Cards","Professional loyalty cards in single sided and double sided options",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:40:18.448Z","2025-09-22T23:40:18.448Z"
186,overprint-envelopes,"Overprint Envelopes","Professional overprint envelopes in single sided and double sided options",,"Business Stationery",0,0,true,true,true,0,"2025-09-22T23:40:36.096Z","2025-09-22T23:40:36.096Z"
189,flyers,"Flyers","Professional flyers in various sizes on 100gsm matte or 150gsm gloss paper",,"Advertising",0,0,true,true,true,1,"2025-09-22T23:51:49.150Z","2025-09-22T23:52:30.932Z"
190,leaflets,"Leaflets","Professional leaflets printing, BW on coloured paper on 150gsm gloss or 100gsm matt",,"Advertising",0,0,true,true,true,1,"2025-09-23T00:06:38.812Z","2025-09-23T00:07:21.126Z"
191,posters,"Posters","Professional posters in various sizes on 190gsm gloss, 170gsm gloss, or 90gsm paper",,"Advertising",0,0,true,true,true,0,"2025-09-23T00:15:53.336Z","2025-09-23T00:15:53.336Z"
192,waterproof-menu,"Waterproof Menu","Professional waterproof menus for restaurants and cafes",,"Menu printing",0,0,true,false,false,0,"2025-09-23T00:33:35.745Z","2025-09-23T00:33:35.745Z"
193,placemat-menu,"Placemat menu","Professional placemat menus for restaurants",,"Menu printing",0,0,true,false,false,0,"2025-09-23T00:33:35.756Z","2025-09-23T00:33:35.756Z"
194,folded-restaurant-menu,"Folded restaurant menu","Professional folded restaurant menus, booklet style with various page counts",,"Menu printing",0,0,true,true,true,0,"2025-09-23T00:33:35.757Z","2025-09-23T00:33:35.757Z"
195,flat-restaurant-menu,"Flat restaurant menu","Professional flat restaurant menus in color and black & white",,"Menu printing",0,0,true,true,true,0,"2025-09-23T00:33:35.870Z","2025-09-23T00:33:35.870Z"
196,takeaway-menu,"Takeaway Menu","Professional takeaway menus for restaurants and cafes",,"Menu printing",0,0,true,true,true,0,"2025-09-23T00:33:36.075Z","2025-09-23T00:33:36.075Z"
198,booklets,"Booklets","Professional booklets, programmes and fixture books in black & white and color",,"Booklet printing",0,0,true,true,true,0,"2025-09-23T00:48:47.876Z","2025-09-23T00:48:47.876Z"
